table,column,distinct_count,sample_values
assessor,building_style,68,FARM & RANCH OTHER IMPROVEMENTS; ONE STORY; 2.5 STY UNFIN BSMT; PARK MODEL MOBILE; DOUBLE WIDE; MISC OUTBUILDINGS; MOBILE HOME WITH LAND; COMMERCIAL REAL PROPERTY; TRIPLE WIDE; SINGLE FAMILY RESIDENCE; MISC RESIDENTIAL; TWO STORY; 2.5; TRIPLEX; TRI LEVEL; 1 STRY FIN BSMT; INTANGIBLE PROPERTY AND/OR UNCERTIFIED PROPERTY; 1.5 STRY UNDEV BSMT; SPLIT (TRI) LEVEL; BL; COMMON AREA; RESIDENTIAL HOMESITE; INDUSTRIAL PERSONAL PROPERTY; ELECTRIC COMPANY (INCLUDING CO-OP); MODULAR HOMES; 3 STRY FIN BSMT; WATER SYSTEMS; 3B; TOTALLY EXEMPTED PROPERTY; FOURPLEX; MODULAR; CONDO; 2 STRY UNDEV BSMT; INDUSTRIAL REAL PROPERTY; 1 & 1/2 STORY; SPLIT ENTRY; NON-QUALIFIED LAND; DUPLEX; DUPLEX RESIDENCE; FARM & RANCH MOBILE HOME; QUALIFIED AG LAND; COMMERICAL PERSONAL PROPERTY; BI OR SPLIT LEVEL ENTRY; 1.5 STRY FIN BSMT; 2B; 1.5B; SINGLE WIDE; MULTIFAMILY RESIDENCE; TOWNHOUSE - ATTACHED SFR UNITS; 2.5 STY FIN BSMT; LOG; APARTMENT; BOAT SHEDS ON LEASED LAND; BUILDINGS ON LEASED LAND; 1 STRY UNDEV BSMT; UNIDENTIFIED CATEGORY; TRIPLEX RESIDENCE; MOBILE HOMES/TANGIBLE OTHER PERSONAL; GAS DISTRIBUTION SYSTEM; RESIDENCE IN GPB; LOG (PANABODE); COMMERCIAL LAND; 1B; OTHER TYPE OF UTILITY; PARK MODEL; 3 STRY UNDEV BSMT; THREE STORY; 2 STRY FIN BSMT
assessor,foundation,18,SKIRTING - WOOD; HILLSIDE - MODERATE; SKIRTING - PRECAST PANELS; POST & PIER; SKIRTING - BRK/STN VENEER; CCP; SKIRTING - CONC BLOCK; SKIRTING - MTL/VIN (VERT); CONC BLOCK; MODERATE CLIMATE; CONC PERIMETER FOUNDATION; SKIRTING - MTL/VIN (HORZ); CONCRETE; SKIRTING - SIDING; HILLSIDE - STEEP; SKIRTING - MTL/VIN (PATTERN); SLAB; WOOD
assessor,exterior_walls,17,CEMENT FIBER; SIDING; PLYWOOD; STAY-IN-PLACE Forming; CONC BLOCK; SHAKE/SHINGLE; GALV METAL; METAL/VINYL SIDING; BAKED ENAMEL; BRICK/STONE VENEER; STUCCO; MASONRY VENEER; LOG; VINYL; EIFS; METAL; BRICK
assessor,roof_covering,15,SLATE; GLASS; BUILT UP ROOFING; COPPER; GALVANIZED; SHAKE; CLAY TILE; GALV METAL; BAKED ENAMEL; WOOD SHINGLE; CONCRETE TILE; COMP - ROLL; COMP; METAL; TILE
assessor,roof_style,5,SHED; PITCHED; COMPLEX; STEEPER THAN 12/4; FLAT
assessor,floor_covering,4,CONCRETE; DIRT; ASPHALT; ALLOWANCE
assessor,floor_construction,7,DIRT; WOOD SUB FLOOR; CONC; ASPHALT; MH-SEISMIC/WIND; CONCRETE SUB FLOOR; WOOD
assessor,interior_finish,11,CEILING INSU; MILD CLIMATE INSULATION; APARTMENT; GARAGE FINISH; OFFICE/APARTMENT FIN; FIN OFFICE AREA; REC ROOM; MODERATE CLIMATE INSULATION; EXTREME CLIMATE INSULATION; MH-DRYWALL; MINIMAL
assessor,heat_air_cond,18,"RADIANT; NONE; HEAT PUMP; HEAT IN I TYPE IMPROVEMENTS; AIR CONDITION; WALL/FLOOR; FORCED AIR, AIR CONDITION; w/f; WOOD STOVE; SPACE HEATER; HOT WATER BAS BRD; HOT WATER - RADIANT; ELECTRIC - RADIANT; SPACE HEAT (OIL OR GAS); FORCED AIR; NO HEAT; BASEBOARD ELECTRIC; ELECTRIC WALL UNITS"
assessor,fireplace,20,S3; D3; S2 - STEEL; GAS STV; S1 - STEEL; FREE STANDING FIREPLACE; DOUBLE 1 STORY; ROOF VENT; WOOD STOVE; D1 - STEEL; SINGLE 2 STORY; D2 - STEEL; SINGLE 1 STORY; PELLET STOVE; D3 - STEEL; S3 - STEEL; WALL VENT; DIRECT VENT; DOUBLE 2 STORY; ZERO CLEARANCE FIREPLACE
assessor,property_type,3,P; R; M
assessor,sale_deed_type,40,Z; TREASURER'S DEED; OTHER; MISC TRANSFER DEED; AFFIDAVIT; ASSIGNMENT OF SUBLEASE; P; PERSONAL REP DEED; COURT ORDER; CP; LACK OF PROBATE; ASSIGNMENT OF LEASE; 2; R; IN; COMMUNITY PROPERTY AGREEMENT; PERSPROP; C; 0; TRUSTEE'S DEED; QUIT CLAIM DEED; GRANT DEED; BILL OF SALE; CONSERVATION EASEMENT DEED; SHERIFF SALE; WARRANTY DEED; EASEMENT; MOBILE HOME DATA; REAL ESTATE CONTRACT; T; DECREE OF DISSOLUTION; MOBILE ONLY; MARRIAGE; UNKNOWN; TRANSFER ON DEATH DEED; BARGAIN AND SALE DEED; DEATH CERTIFICATE; ASSIGNMENT OF SUB LEASE; PURCHASERS ASSIGNMENT; SPECIAL WARRANTY DEED
assessor,fire_district,18,F08; F24EMS; F15; F03; F01; F07; F12; F09; F04; F17; SCRFA 1; F13; F05; F16; F14; F06; F02; F11
assessor,school_district,8,SD311; SD103; SD100; SD317; SD11; SD101; SD320; SD330
assessor,city_district,9,Anacortes; Concrete; Burlington; Mount Vernon; La Conner; Lyman; Sedro Woolley; Hamilton; Skagit County
assessor,levy_code,200,900.0; 1585; 1145; 2730; 1137; 1210.0; 915; 1300; 2725; 1325; 1470.0; 1560; 3417; 1700.0; 1115; 1142.0; 1490.0; 1470; 2305; 1195; 933; 1340.0; 1575; 1570; 2740.0; 925; 2775; 0915; 1105; 1495.0; 1118.0; 3360.0; 934.0; 1112; 1196; 2310.0; 3860.0; 2315; 1805.0; 1800.0; 1327; 1330; 1137.0; 1151; 901; 2780.0; 3352; 1175; 2655.0; 1795.0; 935; 2755.0; 2675; 1112.0; 2730.0; 0931; 931; 1210; 1485; 920.0; 2315.0; 1710; 1110.0; 1565; 3365.0; 2320; 901.0; 0901; 905.0; 1490; 1550.0; 3410; 1125; 1480; 2310; 1500; 2610; 935.0; 1500.0; 1580; 930; 3855; 1560.0; 1790.0; 2655; 1155; 1140.0; 930.0; 3405; 2740; 1330.0; 1485.0; 1335.0; 1135.0; 2765; 1505.0; 1455; 3825.0; 1705; 1105.0; 1155.0; 1555; 1550; 0920; 1805; 3850.0; 1100.0; 2665.0; 2320.0; 2670; 3402; 910.0; 1480.0; 1117; 1495; 925.0; 2610.0; 3365; 3825; 0930; 1150.0; 1460; 0935; 2770; 3400.0; 1457; 1700; 1196.0; 1715; 0932; 3355; 0933; 2775.0; 2670.0; 2805; 3850; 0905; 1795; 2660.0; 1590; 3220; 934; 915.0; 1327.0; 0910; 1790; 1565.0; 1650.0; 2307.0; 1595.0; 2765.0; 1140; 1710.0; 2755; 2307; 0900; 3360; 1115.0; 3220.0; 931.0; 3350.0; 1340; 3405.0; 2305.0; 3352.0; 2770.0; 1110; 1585.0; 0925; 2675.0; 3855.0; 3860; 1580.0; 1335; 2665; 1595; 1450.0; 1590.0; 1800; 1120.0; 1117.0; 2725.0; 1175.0; 1150; 932; 3350; 933.0; 1460.0; 1100; 900; 2805.0; 932.0; 1300.0; 1570.0; 1118; 1455.0; 1120; 2660; 1575.0; 1125.0
assessor,has_septic,2,False; 0
improvements,building_style,69,PM; L; A1; B; M1; SW; J2; 3BU; TL; J3; Y; 2.5BF; 2; 1.5; DX; F2; 2.5; MODUL; F1; L2; B3; COML; DW; 3BF; B2; LP; BL; D; G1; A2; 1.5BF; C1; 2.5BU; MOD; SE; OUTBL; 3B; TRI; B1; 1BU; TW; 1.5BU; L1; J8; SS; TX; A4; PARK; E2; 2BF; 2B; 1.5B; MISC; J1; C; 1BF; 1; GPB.R; X; A6; FX; AP; TH; A5; 3; S; 1B; A; 2BU
improvements,construction_style,23,ATT; CCP (COMP); CCP (FG/MTL/VIN); CCP1; CCP2; CD; CP; CWP (COMP); CWP (FG/MTL/VIN); CWP1; CWP2; DECK; DOCK; FD; METAL FRAME; PATIO; PIPE FRAME; SCREEN ROOM (COMP); SCREEN ROOM (FG/MTL/VIN); SWIM RAFT; TD; WOOD FRAME; WP
improvements,foundation,22,HILLSIDE - MODERATE; SKIRTING - WOOD; CB; CONC; SKIRTING - PRECAST PANELS; SKIRTING - BRK/STN VENEER; DECK; CCP; P; SKIRTING - CONC BLOCK; SKIRTING - MTL/VIN (VERT); MODERATE CLIMATE; CP; SKIRTING - MTL/VIN (HORZ); S; HILLSIDE - STEEP; SKIRTING - SIDING; CWP; C; SKIRTING - MTL/VIN (PATTERN); WOOD; METAL
improvements,exterior_wall,25,BRICK; CEMENT FIBER; SIDING; FIBERGLASS; BKEN; GLASS; POLY; NO END WALLS; PLYWOOD; STAY-IN-PLACE Forming; CONC BLOCK; SHAKE/SHINGLE; PLASTIC; GALV METAL; METAL/VINYL SIDING; S; BRICK/STONE VENEER; STUCCO; MASONRY VENEER; POLY-CARB (GRNHSE); LOG; VINYL; FBRGLS/PVC-VINYL; EIFS; METAL
improvements,roof_covering,21,WS; FG; BKEN; SLATE; GLASS; POLY; COPPER; CLAY TILE; SHAKE; FBRGLS/VINYL; GALV METAL; GALV; BU; VINYL; WOOD SHINGLE; CONCRETE TILE; COMP - ROLL; COMP; CT; METAL; TILE
improvements,roof_style,8,STEEPER THAN 12/4; QUONSET; CPX; PITCHED; P; FLAT; F; SHED
improvements,flooring,6,DIRT; CONC; ASPHALT; GRAVEL; WOOD; ALLOWANCE
improvements,floor_construction,9,DIRT; CONC; ASPHALT; MH-SEISMIC/WIND; WSF; WD; CSF; GRAVEL; WOOD
improvements,interior_finish,22,PARTITION; MILD CLIMATE INSULATION; APARTMENT; GAR; INTR LOFT FF; INT LOFT MIN FIN; INTR LOFT UNF; REC ROOM; EXTR WALL LOFT FF; MODERATE CLIMATE INSULATION; EXTREME CLIMATE INSULATION; MH-DRYWALL; MINIMAL; INT/EXT LOFT UNFIN; FULL FINISH; CEILING INSU; EXT LOFT MIN FIN; WALL & CEILING INSU; OFFICE/APARTMENT FIN; EXTR WALL LOFT UNF; FIN OFFICE AREA; WALL INSU
improvements,plumbing_code,168,"MB, 3QB, 3QB, 2HB; 2FB, 3QB; 3FB; 3FB, 33QB; MB, MB, 2FB; MB, HB; FB, 3QB; MB, MB, 2FB, HB; FB, HB; MB, MB, FB; 3QB, 3QB; MB, FB, 3QB, 2HB; FIX=9; FB, 3QB, 3QB; FB, 3QB, 3QB, 3QB; FB, 23QB; FB, 13QB, HB; 3FB, 13QB, HB; MB, 3QB, 2HB; MB, 2FB, 2HB; MB, FB, 23QB, 2HB; MB,  FB, HB; 1FB; MB, 2FB, 3QB, 2HB; 4FB, 2HB, 2HB; 3QB, FB, HB; FB, 13QB; 2FB, HB, 3QB; MB, 3FB, 3QB, HB; FIX=3; FIX=7; 2FB, 23QB, HB; FB, FB, FB; 3FB, 3QB; MB, MB, MB, HB; FIX=1; FIX=6; FB, 3QB, 2HB; MB, 3QB, FB; 2FB, 3QB, HB; 4FB; 2FB; FB, 3QB, 3QB, HB; FB, FB; 3FB, 2HB; 2FB, 3HB; MB, MB, 3QB, 2HB; 5FB, HB; MB, MB, FB, HB; MB, FB, 23QB, HB; FB, 23QB, HB; 3QB; FB, 3QB,  HB; 2FB, 23QB; HB; MB, FB; 2FB, 2HB; 2FB,  1HB; 3FB,  HB; 2FB, 23QB, 2HB; MB, 3QB, 3QB; MB, 3FB, HB; 3QB, 3QB, 3QB, 3QB, 3QB; MB, 2HB; MB, FB, HB; FIX=16; MB, MB, 3QB, HB; MB, 2FB, HB; FB , 3QB; 4FB, 43QB; MB, 4FB, 3QB, 3HB; FB, 2HB; 2FB, 13QB; FB, HB, HB; L; 2FB,  HB; 3FB, 23QB; 4FB, HB; MB, 3QB, 3QB, 3QB, HB; 5FB; MB, MB, 3FB, HB; FB, HB, 3QB; 3FB, 3FB; MB, 23QB; 3FB, 3QB, 2HB; MB, 4FB, HB; 3HB; MB, 3QB, HB; 2FB, 3HB, HB; FB, FB, 3QB; 4FB, 2FB; MB, MB, HB; 2FB, 3QB, 3QB; FB; 4FB, 3FB; MB, 4FB, 2HB; M; 3FB, 3HB, 3QB, 3QB; 1FB, 3QB; MB, 4FB, 23QB, 3HB; 3FB, HB; MB, FB, 2HB; MB, FB, FB; 2FB, FB; FB, FIX=5; MB, 23QB, HB; FB,  3QB,  HB; FIX=4; FIX=11; MB, 2FB, 3QB, HB; FIX=8; MB, 2FB, 3QB, 3QB, 3QB; MB, MB; FB,  23QB; 5FB, FB; FB, FIX=7; MB, 3QB, 3QB, HB; 33QB, FB; MB, FB, 23QB; 1FB, HB; FIX=5; FB,  HB; MB, 23QB, FB; 2FB, HB; 33QB; MB, 2FB, 3QB; MB, FB, FB, HB; FB, MB; 3QB, 3QB, HB; MB, 2FB, 23QB; FIX=10; FB, 23QB, 2HB; 2FB, 2FB; 4FB, 3QB; MB, 2FB; 33QB, HB; FB, 3QB, HB; 4FB, 2HB; FIX=2; 2FB, 3QB, 3QB, 3QB; 3FB, 3QB, HB; MB,  FB,  HB; MB; 13QB; MB, 3QB, FIX=9; FB,  3QB; 4FB, 3QB, HB; 23QB; MB, 2FB, 3HB; MB, FB, 3QB; FB, 33QB, HB; MB, 3QB; 2FB, 1HB; 2FB, 3QB, 2HB; MB, MB, 3QB, 3QB; 43QB; MB, FB, 3QB, 3QB, HB; MB, 33QB; MB, 3FB; 2HB; MB, 3FB, 2HB; FB, 2HB, 2HB; 3QB, HB; S; MB, 4FB; 2FB, HB, HB; MB, FB, 3QB, HB; 23QB, HB"
improvements,appliances,1,APP
improvements,heating_cooling,23,"NONE; HUM; FA, AC; HP; OUTDOOR - BRACKET MOUNT; N; EW; w/f; SH; SPACE HEATER; WOOD STOVE; AC; BB; BBHW; R; HOT WATER - RADIANT; FA; WALL (Sauna); GREENHOUSE VENT; ELECTRIC - RADIANT; W/F; FLOOR (Sauna); HEAT"
improvements,fireplace,22,S3; D3; D1; ZC; WS; D2; S2 - STEEL; GAS STV; S1 - STEEL; S2; ROOF VENT; WOOD STOVE; D1 - STEEL; PS; D2 - STEEL; D3 - STEEL; S3 - STEEL; S1; WALL VENT; FS; PELLET STV; DIRECT VENT
improvements,condition_code,34,1980; 5; PR; FR; P; A+; 23; E+; A+_; A-; G+; FAIR; AR; 1976; ER; F; MSG; D; DEPRE; VG_; 2001; G; VG; *; +; S; GR; E; POOR; VGR; MSA; A; AV; L
